376,PHF19,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
377,NPC2,immunomodulators,CSF1_response,filtered out
378,RHOQ,immunomodulators,TGFB_score_21050467,filtered out
379,IFIT3,immunomodulators,Module3_IFN_score,filtered out
380,IFIT2,immunomodulators,Module3_IFN_score,filtered out
381,EXOSC8,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
382,ADCY7,immunomodulators,CSF1_response,filtered out
383,CCRL2,immunomodulators,CSF1_response,filtered out
384,CXCR4,immunomodulators,CSF1_response,filtered out
385,PLG,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
386,HNRNPA2B1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
387,ADGRE5,immunomodulators,CSF1_response,filtered out
388,SPRYD7,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
389,NLN,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
390,NCKAP1L,immunomodulators,CSF1_response,filtered out
391,MMP19,immunomodulators,TGFB_score_21050467,filtered out
392,CDK2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
393,LRP1,immunomodulators,TGFB_score_21050467,filtered out
394,SNRPC,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
395,RPP40,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
396,NUP85,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
397,ALKBH7,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
398,SNRPB,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
399,MKKS,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
400,NCLN,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
401,HNRNPR,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
402,IFI6,immunomodulators,Module3_IFN_score,filtered out
