IP component,BRCA V(G)/Vp,BRCA Pval,BRCA fdr,BRCA n,BRCA nonhla V(G)/Vp,BRCA nonhla Pval,BRCA nonhla fdr,BRCA hla V(G)/Vp,BRCA hla Pval,BRCA hla fdr
CMSS1,0.258377,0.2898901,0.5000001,790,0.208575,0.3275901,0.39192304,0.01175,0.2726601,0.5000001
MAP3K8,0.028554,0.4669101,0.5000001,790,,,,,,
CPA3,1.00E-06,0.5000001,0.5000001,790,,,,,,
PDLIM7,1.00E-06,0.5000001,0.5000001,790,,,,,,
AP2M1,1.00E-06,0.5000001,0.5000001,790,,,,,,
THBS1,0.209281,0.2628501,0.5000001,790,0.275287,0.2062301,0.35012738,1.00E-06,0.5000001,0.5000001
PSME2,1.00E-06,0.5000001,0.5000001,790,,,,,,
UAP1,1.00E-06,0.5000001,0.5000001,790,,,,,,
CPEB4,1.00E-06,0.5000001,0.5000001,790,,,,,,
SLC7A7,0.300249,0.1857001,0.5000001,790,0.348573,0.1545101,0.309057579,1.00E-06,0.5000001,0.5000001
VTCN1,0.079474,0.3962801,0.5000001,790,0.112945,0.3566901,0.405767853,1.00E-06,0.5000001,0.5000001
MNAT1,0.328847,0.1970701,0.5000001,790,0.388147,0.1641401,0.316981568,1.00E-06,0.5000001,0.5000001
COX17,1.00E-06,0.5000001,0.5000001,790,,,,,,
GGH,1.00E-06,0.5000001,0.5000001,790,,,,,,
TPSB2,0.308803,0.2651901,0.5000001,790,0.248806,0.3053601,0.38740599,0.018325,0.2222701,0.5000001
PSMB4,0.223121,0.2500301,0.5000001,790,0.231578,0.2473601,0.373816178,0.00181,0.4579701,0.5000001
LRP1,0.128308,0.3333501,0.5000001,790,0.166985,0.2927801,0.384564792,1.00E-06,0.5000001,0.5000001
AP3B1,0.207069,0.2871801,0.5000001,790,0.184955,0.3092001,0.38740599,0.023269,0.2110201,0.5000001
RUNX3,0.256897,0.2045501,0.5000001,790,0.252475,0.2084001,0.35012738,0.008405,0.3843301,0.5000001
IGFBP5,0.123739,0.4101401,0.5000001,790,0.243574,0.3225201,0.390963123,1.00E-06,0.5000001,0.5000001
ARHGAP1,0.141131,0.3370501,0.5000001,790,0.198627,0.2794201,0.38050443,1.00E-06,0.5000001,0.5000001
PSMA3,1.00E-06,0.5000001,0.5000001,790,,,,,,
YTHDF1,1.00E-06,0.5000001,0.5000001,790,,,,,,
TRAT1,1.00E-06,0.5000001,0.5000001,790,,,,,,
VEGFA,1.00E-06,0.5000001,0.5000001,790,,,,,,
GSTCD,1.00E-06,0.5000001,0.5000001,790,,,,,,
MYCBP,0.119141,0.3802401,0.5000001,790,0.242334,0.2761601,0.378290314,1.00E-06,0.5000001,0.5000001
HNRNPA2B1,1.00E-06,0.5000001,0.5000001,790,,,,,,
C19orf48,0.117771,0.3657301,0.5000001,790,0.108944,0.3759201,0.414363167,0.00797,0.3719901,0.5000001
PSMB5,0.313219,0.2663401,0.5000001,790,0.396467,0.2112901,0.35012738,1.00E-06,0.5000001,0.5000001
Lymphocyte.Infiltration.Signature.Score,1.00E-06,0.5000001,0.5000001,777,,,,,,
CD79A,1.00E-06,0.5000001,0.5000001,790,,,,,,
FOXP3,1.00E-06,0.5000001,0.5000001,790,,,,,,
PA2G4,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMD4,0.03678,0.4477601,0.5000001,790,,,,,,
NUP35,0.357221,0.1832701,0.5000001,790,0.26097,0.2620801,0.373816178,0.029259,0.0513391,0.475400066
PDCD1LG2,0.199301,0.3019501,0.5000001,790,0.211801,0.2908701,0.384564792,1.00E-06,0.5000001,0.5000001
PSMA5,0.142972,0.3671701,0.5000001,790,0.227816,0.2971101,0.384728625,1.00E-06,0.5000001,0.5000001
CCBL2,0.129218,0.3690801,0.5000001,790,0.119605,0.3776001,0.414363167,0.004953,0.4178801,0.5000001
MMP19,0.003948,0.4960001,0.5000001,790,,,,,,
CAPZA1,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD28,0.108516,0.3629101,0.5000001,790,0.132407,0.3375501,0.395023299,1.00E-06,0.5000001,0.5000001
VAMP8,0.029912,0.4603501,0.5000001,790,,,,,,
MCM3,0.088966,0.4177101,0.5000001,790,0.082451,0.4235801,0.445721787,0.001198,0.4671701,0.5000001
AP1S3,1.00E-06,0.5000001,0.5000001,790,,,,,,
NID1,0.297648,0.1907601,0.5000001,790,0.350286,0.1573901,0.309057579,1.00E-06,0.5000001,0.5000001
PNN,1.00E-06,0.5000001,0.5000001,790,,,,,,
RNF138,1.00E-06,0.5000001,0.5000001,790,,,,,,
RASSF2,1.00E-06,0.5000001,0.5000001,790,,,,,,
TREM2,1.00E-06,0.5000001,0.5000001,790,,,,,,
ITGA5,0.235684,0.3239301,0.5000001,790,0.360192,0.2398601,0.366518899,1.00E-06,0.5000001,0.5000001
WDR77,1.00E-06,0.5000001,0.5000001,790,,,,,,
IL2RA,0.18089,0.3127901,0.5000001,790,0.179538,0.3147601,0.389662905,0.002396,0.4586301,0.5000001
ENO1,0.001114,0.4990101,0.5000001,790,,,,,,
RPP40,0.240123,0.1979801,0.5000001,790,0.242775,0.1971101,0.347003712,0.001537,0.4671201,0.5000001
PRF1,1.00E-06,0.5000001,0.5000001,790,,,,,,
BCAP31,1.00E-06,0.4992301,0.5000001,790,,,,,,
SELPLG,0.041129,0.4610701,0.5000001,790,,,,,,
RMND5B,1.00E-06,0.5000001,0.5000001,790,,,,,,
HNRNPR,0.020676,0.4785901,0.5000001,790,,,,,,
TMEM130,1.00E-06,0.5000001,0.5000001,790,,,,,,
NPC2,1.00E-06,0.5000001,0.5000001,790,,,,,,
PLK4,1.00E-06,0.5000001,0.5000001,790,,,,,,
